Id,Artist Name,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in_ms,Class,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,mode_1,time_signature_3,time_signature_4,time_signature_5
1,Marina Maximilian,-0.43711342593328173,-1.2633904805027474,-0.5357773679694546,0.30870254325384755,-0.519565158879844,0.562430379765396,-0.5085545039284922,-0.5901489246145595,-1.0497400782130477,1.0187336220386047,-0.3980231523080726,9,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2,The Black Keys,1.3054832957633766,1.0989864960732778,0.35844469430951237,0.5808628244879592,0.13410073681482343,-0.7338408891769997,-0.282517526266114,-0.6053185245604018,-0.4442308580485551,0.35044778616199534,-0.5783101574750124,6,False,False,False,False,False,False,False,False,False,True,True,False,True,False
3,Royal & the Serpent,0.0,0.24708073214176987,0.6000117917024089,0.44552224985251776,-0.20147492203724646,-0.8479790687874507,1.9211476427509204,0.6605803349260615,0.6206301843096903,1.276483397983633,-1.0073990584646677,10,False,False,False,False,False,True,False,False,False,False,True,False,True,False
4,Detroit Blues Band,-1.889277360680497,-0.1698093225481167,-1.5020457575410402,-1.6787577713380073,-0.6131490986427819,1.9959264073900131,-0.40439515672341053,0.7643736327214149,0.0610561463645731,1.7053469605907312,0.8946420299935035,2,False,False,False,False,False,True,False,False,False,False,True,True,False,False
5,Coast Contra,0.20183870535549298,0.13228491998078643,0.48558527188472106,0.6915511997362527,2.075815314628524,-0.11077206845871426,-0.5085545039284922,0.16999724894105506,0.5538153738087808,-1.1777576238470022,0.28473876595865855,5,False,False,False,False,True,False,False,False,False,False,False,False,True,False
6,Beck,-0.37902686854339307,0.6881383262339694,0.638153964974971,0.009917886681616432,1.7000669964608792,-0.8156033061395491,-0.2711999481954358,0.1492088091420567,0.4285376041195753,-1.3927546458872733,-0.19485159079286984,10,False,False,False,False,False,True,False,False,False,False,True,False,True,False
7,Shadow and Light,-1.9473639180703854,0.6941802110845475,-0.9807693894826849,-1.1874394375521518,-0.6294884662301372,1.2626448138596047,0.7575451970301346,-0.710743835150719,0.173806139084858,0.32043864159423274,0.00011816765410081039,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,Within The Ruins,0.027579033185827162,-0.616908801490894,1.4052354496787298,1.224531750486388,1.9630109134214588,-0.8519280856318605,-0.5078280823003141,1.277030458718926,-1.8314733610736889,0.590589456732789,-0.2845301857731458,8,False,False,False,False,False,True,False,False,False,False,True,False,True,False
9,Crazy Cavan,-0.37902686854339307,-0.5866993772380036,0.6508680227324919,-0.4587204236680632,-0.008549702751660757,0.3660119093720312,-0.5085545039284922,1.0121119157877263,0.9672320137831583,2.089847689618774,-0.9483349761006852,10,False,False,False,False,False,False,False,True,False,False,True,False,True,False
10,Day Sulan,0.782704279254379,1.866305872096693,-0.5400153872219616,0.4834866369087253,0.15988209983403928,0.753543335189273,-0.5081502642947104,0.40879407676928026,-0.014110515448950171,-0.674316541007006,-0.3965104678678296,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False
